,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,Ihosy,88,MG,1552094199,99,-22.4,46.13,62.38,2.39
1,Mpanda,92,TZ,1552094200,97,-6.34,31.07,64.13,5.41
2,Tuatapere,92,NZ,1552094202,81,-46.13,167.69,61.84,2.51
3,Yaan,36,NG,1552094203,74,7.38,8.57,79.97,10.78
4,Longyearbyen,0,NO,1552092600,54,78.22,15.63,-0.41,4.7
5,Zyryanka,48,RU,1552094205,71,65.73,150.89,-6.03,3.29
6,Chokurdakh,80,RU,1552094206,66,70.62,147.9,-9.13,4.41
7,Hithadhoo,68,MV,1552094208,100,-0.6,73.08,83.12,6.2
8,Atuona,92,PF,1552094209,100,-9.8,-139.03,82.13,16.93
9,Albany,1,US,1552093990,35,42.65,-73.75,28.0,4.41
10,Rikitea,68,PF,1552094211,100,-23.12,-134.97,77.5,16.15
11,Aleksandrov Gay,48,RU,1552094212,80,50.14,48.57,17.02,9.89
12,Port Alfred,92,ZA,1552094058,88,-33.59,26.89,64.99,4.0
13,Ahipara,32,NZ,1552094215,87,-35.17,173.16,67.51,17.83
14,Hambantota,44,LK,1552090200,100,6.12,81.12,73.4,1.12
15,Yellowknife,90,CA,1552094175,72,62.45,-114.38,17.6,11.41
16,Ushuaia,75,AR,1552089600,61,-54.81,-68.31,50.0,34.45
17,Saint-Philippe,1,CA,1552094216,50,45.36,-73.48,28.4,8.05
18,Khatanga,64,RU,1552094221,69,71.98,102.47,-5.8,13.58
19,Saint George,20,GR,1552094011,100,39.45,22.34,52.0,4.41
20,Zhigansk,64,RU,1552094223,70,66.77,123.37,3.92,7.99
21,Pangody,32,RU,1552094224,70,65.85,74.49,8.92,11.45
22,Kosh-Agach,8,RU,1552094226,51,49.99,88.66,-4.59,3.18
23,Victoria,90,BN,1552091400,88,5.28,115.24,80.6,2.24
24,Riohacha,20,CO,1552089600,78,11.54,-72.91,78.8,11.41
25,Punta Arenas,75,CL,1552093989,76,-53.16,-70.91,51.8,20.8
26,Cherskiy,80,RU,1552094231,75,68.75,161.3,-0.22,2.95
27,Samarai,92,PG,1552094232,99,-10.62,150.67,83.3,10.45
